iter	Logloss
0	0.6318305774
1	0.5812048982
2	0.538224255
3	0.5061203834
4	0.470963148
5	0.4447240361
6	0.4189903425
7	0.395946218
8	0.3780977513
9	0.3626983389
10	0.3450473082
11	0.3257552595
12	0.3154305228
13	0.3007776581
14	0.2926632101
15	0.2866992625
16	0.2826473473
17	0.2772052597
18	0.2729152221
19	0.2677292119
20	0.2625158172
21	0.2599573264
22	0.2559597015
23	0.2525552208
24	0.2489633658
25	0.2478233282
26	0.2452651759
27	0.2432096979
28	0.2414339489
29	0.2400909606
30	0.2391236867
31	0.2373315719
32	0.2354956044
33	0.2335978595
34	0.2328429295
35	0.231702677
36	0.2301057365
37	0.229447181
38	0.2278611387
39	0.2271190743
40	0.2266976537
41	0.2261154814
42	0.2249650115
43	0.2242466984
44	0.2239316059
45	0.2234464153
46	0.2230195033
47	0.2219972226
48	0.2217140907
49	0.2212317152
50	0.2208577262
51	0.2204432913
52	0.2201863749
53	0.219674779
54	0.2192873523
55	0.2189343348
56	0.2186704579
57	0.2184347233
58	0.2181592614
59	0.217621103
60	0.2170183933
61	0.2166371659
62	0.2159813728
63	0.2158125865
64	0.215443177
65	0.2153374583
66	0.2150139604
67	0.2147966128
68	0.2144450316
69	0.2141556251
70	0.2139733586
71	0.2136649954
72	0.2134919145
73	0.213271443
74	0.2129442067
75	0.2125487649
76	0.2119757632
77	0.2117447957
78	0.2116199644
79	0.2112068903
80	0.2110246511
81	0.2107839024
82	0.2106584578
83	0.2106472075
84	0.2103754441
85	0.2100193173
86	0.2097411704
87	0.2095901977
88	0.2094342454
89	0.2092567274
90	0.2090789741
91	0.2086732365
92	0.2084684112
93	0.2082556801
94	0.2082398561
95	0.2079150365
96	0.2076339056
97	0.2074833517
98	0.2072322485
99	0.2069122287
100	0.2066765063
101	0.2063184619
102	0.2060755698
103	0.2059544005
104	0.2057832072
105	0.2054884579
106	0.2051494971
107	0.2050367421
108	0.2048402132
109	0.2047936154
110	0.2044953768
111	0.2042476642
112	0.2039279927
113	0.2037398602
114	0.2035969372
115	0.2034448503
116	0.2033897958
117	0.2031898727
118	0.2029446931
119	0.2026872132
120	0.2025167627
121	0.2025143634
122	0.2022198087
123	0.2022086315
124	0.2020598246
125	0.201956045
126	0.2017760877
127	0.201581562
128	0.2013322647
129	0.2011427086
130	0.201057456
131	0.2009239055
132	0.200820822
133	0.2006481146
134	0.2005563522
135	0.2003911676
136	0.2002966318
137	0.2000936646
138	0.1996709454
139	0.1993553739
140	0.1991718493
141	0.1988895101
142	0.1987170564
143	0.1986133641
144	0.1983946385
145	0.1983332932
146	0.1979436627
147	0.1977808766
148	0.1974992035
149	0.1971915343
150	0.1969192106
151	0.1967711368
152	0.1965856314
153	0.1963747194
154	0.1961856818
155	0.1960677964
156	0.1960123973
157	0.1958430623
158	0.1956758763
159	0.1955632916
160	0.1953246287
161	0.1951550236
162	0.1949721629
163	0.194701835
164	0.194500543
165	0.1943950807
166	0.1943030373
167	0.194159772
168	0.1939692181
169	0.1937785059
170	0.1936349299
171	0.1935410747
172	0.1934101394
173	0.1933452956
174	0.1930858682
175	0.192945216
176	0.1927447418
177	0.1926588111
178	0.1924551164
179	0.1922929085
180	0.1920200241
181	0.1917551364
182	0.1915689052
183	0.1912612103
184	0.1910261187
185	0.1908965074
186	0.1906758358
187	0.1904110937
188	0.190228225
189	0.1900364522
190	0.1898340514
191	0.1896361681
192	0.1894928178
193	0.1893587863
194	0.1891961212
195	0.1889293967
196	0.1888514597
197	0.1887527057
198	0.1884885194
199	0.1883128886
200	0.1881120459
201	0.1879279985
202	0.187720756
203	0.1875592939
204	0.1874626929
205	0.1872647024
206	0.1870549266
207	0.1869341127
208	0.1868084413
209	0.1865561564
210	0.1864298835
211	0.1863352277
212	0.1861575364
213	0.1859511827
214	0.1856214209
215	0.1855814461
216	0.1853484726
217	0.1852111166
218	0.1850117256
219	0.1848537287
220	0.1847030635
221	0.184615626
222	0.1844223732
223	0.1842493876
224	0.1841134252
225	0.1840657091
226	0.1838592289
227	0.1836736411
228	0.1834863956
229	0.1833855194
230	0.1833178565
231	0.1831322138
232	0.1831060017
233	0.1829881426
234	0.1828932884
235	0.1827634914
236	0.1826128481
237	0.1824204604
238	0.1822338909
239	0.1820628234
240	0.1818707156
241	0.1817308435
242	0.1815653522
243	0.1814222203
244	0.1812774218
245	0.1811128052
246	0.1809122586
247	0.1807809561
248	0.1806013632
249	0.1804698769
250	0.1803314591
251	0.180203986
252	0.1800830551
253	0.1798452498
254	0.1797526927
255	0.1796475743
256	0.179462258
257	0.1792997925
258	0.1791156399
259	0.1789581152
260	0.1788459456
261	0.1786992595
262	0.1784686261
263	0.1783365248
264	0.1781005168
265	0.1779484975
266	0.1778256338
267	0.1776537149
268	0.1775504398
269	0.177448206
270	0.1772849253
271	0.1772048192
272	0.1769639014
273	0.1767672853
274	0.1765460426
275	0.1764027407
276	0.1762205902
277	0.1761382315
278	0.1760253733
279	0.1759039029
280	0.1757763218
281	0.1756760985
282	0.1755333934
283	0.1754890193
284	0.1753942236
285	0.1753163377
286	0.1752368535
287	0.1751391099
288	0.1748936404
289	0.1747110721
290	0.1745977503
291	0.1744819454
292	0.174269006
293	0.1741561524
294	0.1740354634
295	0.1738699119
296	0.1736879291
297	0.17358233
298	0.1734819028
299	0.1734769644
300	0.1733686443
301	0.1732308471
302	0.173090672
303	0.1729540019
304	0.1728631153
305	0.1726901882
306	0.1726032821
307	0.1724280318
308	0.172331991
309	0.1721784255
310	0.1719923046
311	0.1718583379
312	0.1717126989
313	0.1716000594
314	0.1714725726
315	0.1713932425
316	0.1713182944
317	0.1712701524
318	0.1710502412
319	0.1709699014
320	0.1708823476
321	0.170749858
322	0.1705813078
323	0.1704524858
324	0.1703954803
325	0.1703125712
326	0.1699951702
327	0.1697795916
328	0.1695869045
329	0.1693275043
330	0.1690431107
331	0.1689117217
332	0.1687043484
333	0.1685243652
334	0.1684175172
335	0.1682478829
336	0.1681217932
337	0.1680342565
338	0.1679946883
339	0.1678239007
340	0.1677286816
341	0.1675897694
342	0.1675530469
343	0.1674604393
344	0.1673774779
345	0.1672584874
346	0.1671534276
347	0.1670860636
348	0.1669508498
349	0.1667596192
350	0.1666278194
351	0.1664841726
352	0.1663162706
353	0.1662794151
354	0.166130752
355	0.1660368472
356	0.1658889289
357	0.1657005005
358	0.165654085
359	0.1655638195
360	0.1654455183
361	0.1652965067
362	0.1652841211
363	0.1651663496
364	0.1650293015
365	0.164883574
366	0.1646659075
367	0.1645097568
368	0.1644613755
369	0.1643407698
370	0.1642312257
371	0.1641627873
372	0.1640005029
373	0.1637815339
374	0.1636786146
375	0.1635514127
376	0.1634030459
377	0.1631987462
378	0.1631031291
379	0.162935547
380	0.1628888184
381	0.1627821274
382	0.1626003203
383	0.1623779074
384	0.1622284393
385	0.1620258706
386	0.1619617761
387	0.1619342037
388	0.1617888921
389	0.1616920857
390	0.1615519884
391	0.1615127914
392	0.1614136261
393	0.1612728071
394	0.1611318685
395	0.1609836309
396	0.160874614
397	0.1607358482
398	0.1606971903
399	0.1605970369
400	0.1604542423
401	0.1603360763
402	0.160164237
403	0.1599810402
404	0.15984654
405	0.1596645896
406	0.1595009668
407	0.1593731641
408	0.1592974006
409	0.1591728503
410	0.158898286
411	0.158776423
412	0.1586899359
413	0.1584449696
414	0.1582579868
415	0.1581176081
416	0.1579305095
417	0.157716802
418	0.1576303921
419	0.1576148493
420	0.1574937633
421	0.1573259945
422	0.1572455706
423	0.1571691096
424	0.1570347721
425	0.1569903069
426	0.1568611946
427	0.1566964927
428	0.1565245179
429	0.1563934701
430	0.1563345244
431	0.1562457919
432	0.1560129418
433	0.1558465794
434	0.1557324899
435	0.1555980415
436	0.1554703287
437	0.155259792
438	0.1551384465
439	0.155044404
440	0.1549508556
441	0.1548025912
442	0.1547043024
443	0.1544923618
444	0.1544226273
445	0.1542665214
446	0.1542278746
447	0.1540569621
448	0.1539002539
449	0.1538218442
450	0.1536972651
451	0.1535829157
452	0.1534414948
453	0.15335046
454	0.1532032951
455	0.1530587396
456	0.1528590686
457	0.1528423362
458	0.1527264844
459	0.15249623
460	0.1524423989
461	0.1522467686
462	0.1521397842
463	0.1520256838
464	0.1519143016
465	0.1518874861
466	0.1517268585
467	0.1516666006
468	0.1515088263
469	0.1514326043
470	0.1513223359
471	0.1511731767
472	0.1511206768
473	0.1510403685
474	0.150929772
475	0.1508407977
476	0.1507312739
477	0.1506184357
478	0.1505429795
479	0.1504631419
480	0.1503516207
481	0.1502200919
482	0.1501606663
483	0.1501146387
484	0.1500032231
485	0.14993715
486	0.1498795476
487	0.1497296778
488	0.1495963886
489	0.1495700153
490	0.1495181491
491	0.1493986523
492	0.1492741647
493	0.1491532911
494	0.1490520772
495	0.1489135715
496	0.1488132527
497	0.1487327172
498	0.1486338709
499	0.1483930012
500	0.1482933471
501	0.1481996117
502	0.1480449268
503	0.1479595144
504	0.1478811837
505	0.1477533308
506	0.1477057865
507	0.147532514
508	0.1473429685
509	0.1473021686
510	0.1471668804
511	0.146956357
512	0.1468522391
513	0.146824238
514	0.1466838614
515	0.1465925724
516	0.1465419449
517	0.1464312245
518	0.1462934357
519	0.1461160217
520	0.1460524275
521	0.1459395756
522	0.1458423359
523	0.145787955
524	0.145704329
525	0.1455778019
526	0.1454730398
527	0.1453766603
528	0.145240279
529	0.145074351
530	0.1449823234
531	0.1448928642
532	0.1447717035
533	0.1446953458
534	0.1445914847
535	0.144516466
536	0.144449425
537	0.1443312335
538	0.1442733373
539	0.1442137056
540	0.1441420299
541	0.1440032272
542	0.1438722355
543	0.1438444771
544	0.1437349744
545	0.1436699126
546	0.1435366752
547	0.1433933199
548	0.1433231183
549	0.1432092418
550	0.1430869553
551	0.1429809745
552	0.1427650257
553	0.1426489327
554	0.1426289256
555	0.142561396
556	0.1423993706
557	0.1423372145
558	0.1423134011
559	0.1421998695
560	0.1420727177
561	0.1420123961
562	0.1420027864
563	0.1419171919
564	0.1418126296
565	0.1416746727
566	0.1416001459
567	0.1415132812
568	0.141396799
569	0.1412271172
570	0.1412188287
571	0.1411201373
572	0.1409987052
573	0.1409028333
574	0.1407820971
575	0.1407016386
576	0.1405387807
577	0.1404532623
578	0.1403291024
579	0.140256359
580	0.1401654696
581	0.1401498685
582	0.1400621602
583	0.140028801
584	0.1399373978
585	0.1397886742
586	0.1396683003
587	0.1395956089
588	0.1395367047
589	0.139346564
590	0.1392655028
591	0.139198255
592	0.1391114905
593	0.1390518369
594	0.1389816799
595	0.1389240566
596	0.138775658
597	0.1387511866
598	0.1385703525
599	0.1384436387
600	0.138282186
601	0.1381766141
602	0.1379787613
603	0.1378781518
604	0.1378069323
605	0.1377328825
606	0.1376511151
607	0.1376131424
608	0.1376050041
609	0.1374918635
610	0.1373803085
611	0.137231885
612	0.1371639708
613	0.137088401
614	0.1369274576
615	0.1368601949
616	0.1366993248
617	0.136639828
618	0.1366099086
619	0.1365469271
620	0.1364768529
621	0.1362863694
622	0.1361818072
623	0.1360973948
624	0.1359972936
625	0.1358568885
626	0.1357753345
627	0.1356884444
628	0.1355235495
629	0.1354818676
630	0.1353558825
631	0.1352560899
632	0.1351242055
633	0.1350193842
634	0.1349383425
635	0.1348601157
636	0.1347733661
637	0.1346853566
638	0.1345274728
639	0.1344039338
640	0.1343388833
641	0.1342719704
642	0.1341521801
643	0.1340799378
644	0.1339596498
645	0.1338903571
646	0.1338105203
647	0.1336702567
648	0.1335590708
649	0.1334544609
