iter	Passed	Remaining
0	51	51403
1	56	28230
2	60	20029
3	65	16395
4	69	13830
5	74	12406
6	78	11201
7	82	10284
8	87	9604
9	91	9093
10	97	8760
11	105	8685
12	112	8523
13	117	8283
14	122	8022
15	128	7881
16	132	7664
17	137	7483
18	141	7306
19	145	7124
20	150	7010
21	155	6894
22	159	6756
23	162	6603
24	166	6506
25	170	6401
26	177	6397
27	182	6345
28	188	6301
29	193	6246
30	203	6359
31	209	6339
32	213	6270
33	218	6213
34	222	6137
35	226	6058
36	230	5999
37	234	5939
38	238	5876
39	242	5820
40	246	5769
41	251	5729
42	255	5678
43	259	5634
44	264	5614
45	269	5581
46	274	5572
47	280	5560
48	284	5526
49	289	5499
50	295	5498
51	299	5468
52	304	5434
53	308	5407
54	315	5419
55	319	5385
56	324	5366
57	332	5399
58	340	5434
59	344	5402
60	350	5391
61	355	5374
62	359	5353
63	365	5340
64	369	5321
65	373	5287
66	377	5250
67	381	5222
68	385	5200
69	389	5170
70	393	5143
71	398	5140
72	402	5113
73	406	5084
74	409	5052
75	414	5034
76	418	5013
77	421	4987
78	426	4970
79	431	4959
80	435	4946
81	439	4919
82	443	4896
83	446	4869
84	451	4858
85	454	4834
86	458	4812
87	463	4806
88	467	4790
89	471	4768
90	474	4742
91	481	4749
92	485	4734
93	488	4711
94	491	4683
95	495	4667
96	499	4652
97	504	4640
98	507	4618
99	511	4606
100	515	4587
101	519	4570
102	522	4550
103	527	4540
104	531	4528
105	534	4511
106	539	4504
107	543	4491
108	547	4474
109	550	4454
110	554	4438
111	558	4427
112	563	4419
113	566	4402
114	570	4393
115	575	4387
116	580	4380
117	584	4366
118	590	4373
119	594	4357
120	598	4349
121	602	4337
122	607	4330
123	612	4326
124	621	4348
125	628	4356
126	633	4356
127	641	4371
128	647	4368
129	654	4378
130	661	4390
131	665	4375
132	670	4372
133	681	4405
134	685	4393
135	689	4382
136	694	4376
137	698	4362
138	702	4353
139	709	4357
140	718	4380
141	730	4414
142	740	4435
143	747	4445
144	755	4456
145	759	4444
146	766	4446
147	773	4451
148	781	4461
149	786	4458
150	791	4451
151	797	4449
152	803	4446
153	808	4439
154	814	4440
155	820	4441
156	826	4438
157	831	4430
158	838	4436
159	844	4432
160	848	4421
161	854	4417
162	859	4412
163	863	4400
164	867	4391
165	871	4377
166	876	4370
167	879	4357
168	884	4347
169	888	4338
170	891	4323
171	895	4310
172	899	4300
173	906	4302
174	910	4291
175	915	4287
176	919	4274
177	923	4262
178	926	4249
179	933	4252
180	937	4241
181	940	4229
182	946	4224
183	950	4216
184	954	4203
185	958	4194
186	963	4190
187	967	4179
188	971	4170
189	975	4158
190	981	4159
191	986	4153
192	991	4144
193	997	4143
194	1003	4144
195	1008	4136
196	1014	4133
197	1018	4126
198	1030	4146
199	1035	4142
200	1041	4140
201	1050	4149
202	1059	4160
203	1065	4155
204	1069	4148
205	1080	4162
206	1084	4153
207	1087	4142
208	1092	4133
209	1099	4135
210	1106	4136
211	1112	4136
212	1116	4125
213	1119	4113
214	1124	4104
215	1129	4100
216	1133	4088
217	1136	4076
218	1140	4065
219	1145	4061
220	1149	4050
221	1152	4038
222	1155	4026
223	1159	4018
224	1163	4007
225	1167	3996
226	1171	3988
227	1176	3984
228	1180	3974
229	1184	3966
230	1188	3955
231	1193	3949
232	1196	3940
233	1200	3931
234	1203	3919
235	1208	3913
236	1213	3905
237	1217	3897
238	1221	3889
239	1226	3883
240	1231	3879
241	1237	3876
242	1246	3881
243	1254	3886
244	1263	3892
245	1272	3900
246	1281	3905
247	1289	3910
248	1299	3919
249	1308	3925
250	1314	3921
251	1319	3915
252	1328	3921
253	1331	3910
254	1335	3901
255	1342	3901
256	1349	3900
257	1353	3891
258	1358	3887
259	1362	3878
260	1366	3868
261	1370	3859
262	1376	3856
263	1379	3845
264	1383	3837
265	1389	3834
266	1393	3824
267	1396	3814
268	1400	3804
269	1405	3801
270	1410	3793
271	1414	3786
272	1419	3779
273	1423	3770
274	1427	3764
275	1432	3756
276	1435	3747
277	1441	3743
278	1445	3734
279	1448	3724
280	1451	3714
281	1456	3708
282	1460	3701
283	1464	3692
284	1469	3687
285	1473	3679
286	1477	3669
287	1480	3660
288	1484	3651
289	1489	3646
290	1492	3637
291	1496	3627
292	1500	3620
293	1508	3622
294	1513	3616
295	1516	3607
296	1522	3603
297	1526	3595
298	1529	3586
299	1533	3577
300	1537	3571
301	1541	3563
302	1545	3554
303	1548	3546
304	1553	3540
305	1557	3531
306	1560	3522
307	1563	3513
308	1567	3506
309	1572	3500
310	1577	3493
311	1581	3486
312	1586	3481
313	1590	3474
314	1593	3465
315	1597	3458
316	1602	3452
317	1607	3446
318	1610	3438
319	1614	3430
320	1622	3431
321	1626	3424
322	1629	3415
323	1635	3411
324	1639	3404
325	1642	3395
326	1646	3387
327	1650	3382
328	1654	3374
329	1658	3366
330	1661	3358
331	1665	3351
332	1671	3347
333	1674	3339
334	1678	3331
335	1684	3328
336	1688	3320
337	1691	3312
338	1696	3307
339	1702	3304
